VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
TYPE,PERSON TYPE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ASIAN_EX,ASIAN LANGUAGE USED (FOR EXTENDED INTERVIEW),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ASIAN_SC,ASIAN LANGUAGE USED (FOR SCREENER INTERVIEW),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ENGP_EX,WHETHER EXTENDED INTERVIEW IN ENGLISH OR SPANISH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ENGP_SC,WHETHER SCREENER DONE IN ENGLISH OR SPANISH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SC19A,RELATIONSHIP OF PERMISSION GIVING ADULT TO ADOLESCENT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
PGAID,PERMISSION GIVING ADULT TO ADOLESCENT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION N,"PERSONAL SAFETY, SOCIAL COHESION & PHYSICAL ENVIRONMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC25,NEARBY PARK/PLAYGROUND SAFE DURING DAY,TC25_P1,,X,,X,X,N/A,N/A,,,,,,,,,,,,,,,,N/A,,N/A,RECLAIMED IN CHIS 2021;,
TD34,PEOPLE IN NEIGHBRHD WILLING TO HELP,,SOCHESS; SOCHESS2,X,,X,X,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TD45,PEOPLE IN NEIGHBRHD DO NOT GET ALONG,,SOCHESS2,X,,X,X,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD36,PEOPLE IN NEIGHBRHD CAN BE TRUSTED,,SOCHESS; SOCHESS2,X,,X,X,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
SOCHESS3,SOCIAL COHESION NEIGHBORHOOD SCALE,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"SCORE BASED ON SUM OF TD34, TD36, AND TD45. HIGHER SCORE INDICATES GREATER SOCIAL COHESION. SEE DOI: 10.1093/aje/kwm040.; SCORE BASED ON SUM OF TD34, TD36, AND
TD45. HIGHER SCORE INDICATES GREATER
SOCIAL COHESION. SEE DOI: 10.1093/aje/kwm040.",
TE64,FEEL SAFE IN NEIGHBORHOOD,,,X,,X,X,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TD66,EXPERIENCED A HATE INCIDENT IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_1,TYPE OF HATE INCIDENT EXPERIENCED: PHYSICAL ABUSE/ATTACK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_2,TYPE OF HATE INCIDENT EXPERIENCED: VERBAL ABUSE/INSULTS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_3,TYPE OF HATE INCIDENT EXPERIENCED: CYBERBULLYING,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_4,TYPE OF HATE INCIDENT EXPERIENCED: PROPERTY DAMAGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_5,TYPE OF HATE INCIDENT EXPERIENCED: WORSE SERVICE/TREATMENT OR RULES APPLIED DIFFERENTLY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_6,TYPE OF HATE INCIDENT EXPERIENCED: EMOTIONAL OR PSYCHOLOGICAL ABUSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_7,"TYPE OF HATE INCIDENT EXPERIENCED: THREATS AND INTIMIDATION, OTHER THAN EXPRESSLY VERBAL OR PHYSICAL",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_8,TYPE OF HATE INCIDENT EXPERIENCED: EXPERIENCED OR WITNESSED A CLIMATE OF HATE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_9,TYPE OF HATE INCIDENT EXPERIENCED: POLITICAL OPPOSITION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD67_91,TYPE OF HATE INCIDENT EXPERIENCED: SOMETHING ELSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_1,LOCATION OF HATE INCIDENT: HOME,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_2,LOCATION OF HATE INCIDENT: SCHOOL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_3,LOCATION OF HATE INCIDENT: WORK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_4,"LOCATION OF HATE INCIDENT: A BUSINESS (STORE, THEATER, GAS STATION)",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_5,LOCATION OF HATE INCIDENT: ON STREET OR SIDEWALK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_6,LOCATION OF HATE INCIDENT: ONLINE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_7,LOCATION OF HATE INCIDENT: ON PUBLIC TRANSIT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_8,"LOCATION OF HATE INCIDENT: PUBLIC GATHERING PLACE (PARK, SPORTING EVENT, RELIGIOUS INSTITUTION)",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_9,LOCATION OF HATE INCIDENT: EXPERIENCED OR WITNESSED A CLIMATE OF HATE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_10,LOCATION OF HATE INCIDENT: POLITICAL OPPOSITION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD68_91,LOCATION OF HATE INCIDENT: SOMEWHERE ELSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_1,REASON TARGETED FOR HATE INCIDENT: RACE/SKIN COLOR,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_2,REASON TARGETED FOR HATE INCIDENT: SEXUAL ORIENTATION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_3,REASON TARGETED FOR HATE INCIDENT: GENDER/SEX/GENDER IDENTITY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_4,REASON TARGETED FOR HATE INCIDENT: RELIGION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_5,REASON TARGETED FOR HATE INCIDENT: ANCESTRY/ORIGIN/LANGUAGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_6,REASON TARGETED FOR HATE INCIDENT: DISABILITY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_7,REASON TARGETED FOR HATE INCIDENT: IMMIGRATION STATUS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_8,REASON TARGETED FOR HATE INCIDENT: AGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_9,REASON TARGETED FOR HATE INCIDENT: BECAUSE OF POLITICAL BELIEFS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_10,"REASON TARGETED FOR HATE INCIDENT: BECAUSE OF ECONOMIC STATUS, EDUCATION, EMPLOYMENT, OR HOUSING STATUS",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD69_91,REASON TARGETED FOR HATE INCIDENT: SOME OTHER REASON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD70,MAIN REASON TARGETED FOR HATE INCIDENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAIN_HATEEXP,MAIN REASON TARGETED FOR A HATE INCIDENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TD71,WITNESSED A HATE INCIDENT IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_1,TYPE OF HATE INCIDENT WITNESSED: PHYSICAL ABUSE/ATTACK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_2,TYPE OF HATE INCIDENT WITNESSED: VERBAL ABUSE/INSULTS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_3,TYPE OF HATE INCIDENT WITNESSED: CYBERBULLYING,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_4,TYPE OF HATE INCIDENT WITNESSED: PROPERTY DAMAGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_5,TYPE OF HATE INCIDENT WITNESSED: WORSE SERVICE/TREATMENT OR RULES APPLIED DIFFERENTLY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_6,TYPE OF HATE INCIDENT WITNESSED: EMOTIONAL OR PSYCHOLOGICAL ABUSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_7,"TYPE OF HATE INCIDENT WITNESSED: THREATS AND INTIMIDATION, OTHER THAN EXPRESSLY VERBAL OR PHYSICAL",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_8,TYPE OF HATE INCIDENT WITNESSED: EXPERIENCED OR WITNESSED A CLIMATE OF HATE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_9,TYPE OF HATE INCIDENT WITNESSED: POLITICAL OPPOSITION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD72_91,TYPE OF HATE INCIDENT WITNESSED: SOMETHING ELSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_1,LOCATION OF WITNESSED HATE INCIDENT: HOME,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_2,LOCATION OF WITNESSED HATE INCIDENT: SCHOOL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_3,LOCATION OF WITNESSED HATE INCIDENT: WORK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_4,"LOCATION OF WITNESSED HATE INCIDENT: A BUSINESS (STORE, THEATER, GAS STATION)",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_5,LOCATION OF WITNESSED HATE INCIDENT: ON STREET OR SIDEWALK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_6,LOCATION OF WITNESSED HATE INCIDENT: ONLINE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_7,LOCATION OF WITNESSED HATE INCIDENT: ON PUBLIC TRANSIT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_8,"LOCATION OF WITNESSED HATE INCIDENT: PUBLIC GATHERING PLACE (PARK, SPORTING EVENT, RELIGIOUS INSTITUTION)",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_9,LOCATION OF WITNESSED HATE INCIDENT: EXPERIENCED OR WITNESSED A CLIMATE OF HATE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_10,LOCATION OF WITNESSED HATE INCIDENT: POLITICAL OPPOSITION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD73_91,LOCATION OF WITNESSED HATE INCIDENT: SOMEWHERE ELSE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_1,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: RACE/SKIN COLOR,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_2,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: SEXUAL ORIENTATION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_3,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: GENDER/SEX/GENDER IDENTITY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_4,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: RELIGION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_5,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: ANCESTRY/ORIGIN/LANGUAGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_6,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: DISABILITY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_7,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: IMMIGRATION STATUS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_8,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: AGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_9,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: BECAUSE OF POLITICAL BELIEFS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_10,"REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: BECAUSE OF ECONOMIC STATUS, EDUCATION, EMPLOYMENT, OR HOUSING STATUS",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD74_91,REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED: SOME OTHER REASON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD75,MAIN REASON PERSON TARGETED FOR HATE INCIDENT WITNESSED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAIN_HATEWIT,MAIN REASON WITNESSED PERSON TARGETED FOR A HATE INCIDENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TC13V2,ANY HOUSEHOLD MEMBER KEEPS A FIREARM AT HOME,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC13.,
TC13CV2,HAVE A FIREARM YOURSELF,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC13C.,
TC13C1V2,HOW MANY FIREARMS YOU HAVE,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC13C1.,
TC13EV2,FIREARM IS A HANDGUN,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC13E.,
TC13F,ANY OF FIREARMS ARE HANDGUNS,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC14AV2,EVER HELD A FIREARM,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC14A.,
TC14BV2,EVER FIRED A FIREARM,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC14B.,
TC14CV2,EVER USED A FIREARM FOR HUNTING OR TARGET SHOOTING,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC14C.,
TC14FV2,EVER HANDLED A FIREARM WITHOUT ADULT SUPERVISION/KNOWLEDGE,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC14F.,
TC17V2,KNOW PEOPLE SAME AGE WHO HAVE A FIREARM,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC17.,
TC18V2,COULD GET A FIREARM WITHIN 2 DAYS,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC18.,
TC21V2,EVER HAD SOMEONE BRING OUT/SHOW/USE A FIREARM AGAINST YOU THREATENINGLY,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed in CHIS 2021 from CHIS 2001. Previous version: TC21.,
